"","5007_S76","5036_S77","5073_S78","5085_S79","5104_S80","5113_S81","5114_S82","5148_S83","5150_S84","5160_S85","5172_S86","5179_S87","5197_S88","5221_S89","5224_S90","5238_S91","5243_S92","5252_S93","5253_S94","5334_S95","5348_S96","5357_S97","5366_S98","5377_S99","5379_S100","5381_S101","5383_S102","5425_S103","5426_S104","5431_S105","CN_MCC21-111_S106"
"ASV49",828,79,376,462,185,67,151,62,108,165,234,313,226,63,154,26,0,155,214,146,299,703,49,138,143,41,157,337,92,239,0
"ASV50",882,361,258,420,207,63,319,408,313,357,27,70,33,302,104,369,24,77,53,54,220,83,85,265,184,57,106,38,219,191,0
"ASV51",418,170,91,185,529,163,126,101,115,0,44,42,57,296,136,121,0,39,92,291,1027,519,133,135,250,134,50,284,278,253,0
"ASV52",187,72,0,161,0,40,84,67,38,107,46,21,49,224,195,137,36,115,623,14,357,2377,18,256,389,64,0,76,70,140,0
"ASV53",73,114,226,121,42,264,49,121,620,675,194,182,134,539,686,0,0,14,6,380,257,117,95,432,75,164,7,50,18,144,0
"ASV54",584,120,406,145,78,134,56,104,238,185,187,232,130,271,375,59,417,527,81,72,132,161,189,155,68,64,65,108,112,332,0
"ASV55",306,0,274,283,56,67,0,112,60,0,316,256,299,0,104,42,87,172,447,107,309,197,998,111,83,476,178,137,128,174,0
"ASV56",165,154,401,206,127,95,55,136,221,320,223,194,139,238,469,0,388,499,82,133,117,171,168,181,66,93,71,88,110,261,0
"ASV57",91,162,380,209,91,73,116,201,266,117,163,68,70,476,156,104,202,170,42,109,142,502,163,178,176,91,635,95,60,163,3
"ASV58",169,462,91,329,197,111,58,152,53,189,48,151,217,146,35,197,100,115,150,165,80,667,312,72,138,190,252,316,213,49,0
"ASV59",104,204,108,193,378,228,45,49,167,518,11,133,251,45,142,52,7,279,52,102,87,252,104,1050,202,43,340,33,98,82,0
"ASV60",183,123,181,122,233,97,40,146,45,27,29,135,231,138,41,37,30,123,0,47,929,1051,246,425,139,205,117,0,95,122,0
"ASV61",1107,191,115,221,108,67,98,55,102,138,187,118,41,142,105,0,0,28,105,616,97,308,53,293,164,108,0,320,201,173,0
"ASV62",184,349,91,95,150,39,78,295,227,11,0,224,466,10,90,0,181,625,0,63,59,335,460,291,281,83,167,29,117,134,0
"ASV63",198,152,441,59,129,98,71,103,159,78,140,77,143,283,251,163,63,195,152,259,232,287,237,190,77,136,98,70,153,388,0
"ASV64",14,40,47,0,0,5,121,0,49,13,148,18,0,3090,186,0,0,0,85,0,0,60,79,0,736,82,0,71,96,23,0
"ASV65",139,163,288,138,36,158,41,46,250,128,94,120,237,193,214,0,163,753,9,303,114,50,163,287,45,106,41,100,70,435,0
"ASV66",99,290,338,328,66,144,0,114,139,196,121,255,207,106,39,56,227,86,143,0,83,354,291,244,86,180,130,96,339,124,0
"ASV67",429,67,222,138,0,27,90,64,146,6,47,144,29,385,836,57,170,140,0,372,116,27,358,314,170,143,6,36,125,167,0
"ASV68",49,222,71,172,210,498,0,79,0,102,107,318,508,143,0,66,0,61,695,301,410,59,0,94,101,182,0,62,100,185,0
"ASV69",198,77,139,1047,67,72,0,78,46,0,0,125,138,0,75,0,70,268,152,86,282,195,816,0,62,164,321,0,197,73,0
"ASV70",118,147,241,125,66,50,26,176,82,259,80,171,418,101,38,208,129,226,64,57,294,189,119,585,190,96,233,61,71,83,0
"ASV71",563,73,118,159,204,33,313,107,101,118,69,165,51,181,142,347,0,0,185,178,38,674,8,218,247,106,91,0,54,80,0
"ASV72",75,319,108,144,43,140,0,84,21,108,0,123,73,28,168,0,54,182,197,0,226,1079,296,102,103,68,234,110,450,58,0
"ASV73",134,111,0,0,223,0,363,0,0,0,0,164,0,56,25,0,0,0,493,125,285,1002,0,45,583,419,62,0,479,21,0
"ASV74",0,0,0,125,55,152,0,0,0,61,0,459,886,89,0,0,0,0,0,0,2320,0,41,0,30,294,0,0,50,0,0
"ASV75",166,0,36,252,0,90,18,9,16,42,261,304,544,8,30,137,261,142,32,0,311,13,14,887,0,44,584,94,68,106,0
"ASV76",26,216,168,76,51,322,0,103,34,138,0,118,95,62,20,1038,0,325,20,67,113,443,118,121,73,37,180,138,70,95,0
"ASV77",240,259,180,163,159,39,0,91,125,89,72,155,323,99,64,37,12,247,26,115,108,314,299,68,48,76,377,241,124,89,0
"ASV78",0,0,0,0,109,0,0,0,0,1222,0,659,1607,0,0,0,0,582,0,0,0,0,49,0,0,0,0,0,0,0,0
"ASV79",153,100,262,133,213,109,14,102,138,216,99,134,91,30,73,260,0,17,94,146,335,371,63,270,91,96,94,306,89,88,0
"ASV80",156,182,195,141,75,100,124,86,203,0,223,82,219,161,200,75,0,104,127,179,217,266,123,348,0,172,0,112,89,172,0
"ASV81",342,0,815,47,439,435,0,0,0,0,0,0,0,347,0,0,191,0,0,0,911,516,0,0,0,0,0,0,76,0,0
"ASV82",280,90,218,209,139,228,62,50,145,103,83,117,207,100,165,75,66,185,88,135,292,455,133,101,0,58,44,60,50,161,0
"ASV83",64,127,62,103,46,59,0,97,0,95,0,168,88,0,99,0,43,147,207,123,84,872,253,71,61,62,241,765,158,0,0
"ASV84",42,35,386,316,19,195,39,154,161,59,81,180,241,13,38,37,564,176,4,122,60,266,74,51,32,130,192,24,64,214,0
"ASV85",50,20,0,67,46,24,198,63,23,102,229,26,0,1407,157,0,0,0,0,61,228,500,0,342,10,261,0,0,108,0,0
"ASV86",87,84,148,266,72,97,0,0,75,0,261,137,202,57,284,0,0,184,187,154,454,208,342,139,50,0,0,41,159,224,0
"ASV87",164,75,243,175,41,157,117,75,181,177,77,84,94,212,210,35,0,401,26,104,89,41,318,121,79,58,46,333,88,80,0
"ASV88",112,180,615,279,176,142,0,97,83,159,32,193,155,103,59,222,48,148,53,67,141,159,125,66,63,32,151,53,117,49,0
